,0
1101,8502024:0:1
1102,8502017:0:2
1103,8502028:0:2
1104,8502021:0:2
1105,8502034
1106,8502012:0:2
1107,8502020:0:1
1108,8502009:0:2
1109,8502008:0:1
1110,8502011:0:2
1111,8502011:0:1
1112,8502008:0:2
1113,8502009:0:1
1114,8502020:0:2
1115,8502012:0:1
1116,8516350:0:2
1117,8515997:0:2
1118,8515996:0:1
1119,8502203:0:2
1120,8515995:0:1
1121,8502230:0:1
1122,8516187:0:1
1123,8515993:0:3
1124,8515992:0:2
1125,8502206:0:2
1126,8502007:0:2CD
1127,8502306:0:1
1128,8502202:0:1
1129,8515992:0:1
1130,8515993:0:2
1131,8516187:0:2
1132,8502230:0:2
1133,8515995:0:2
1134,8515996:0:2
1135,8515997:0:1
1136,8516350:0:1
1137,8502306:0:2
1138,8502204:0:6
1139,8502204
1140,8508318:0:3
1141,8508317:0:2
1142,8508316:0:1
1143,8508323:0:2
1144,8508314:0:2
1145,8508313:0:2
1146,8508327:0:1
1147,8508312:0:4
1148,8505000:0:15
1149,8508312:0:5
1150,8508312:0:1
1151,8508312:0:3
1152,8508317:0:1
1153,8508313:0:1
1154,8508314:0:1
1155,8508323:0:1
1156,8508320:0:1
1157,8508392:0:1
1158,8508394:0:1
1159,8508384:0:1
1160,8506302:0:1
1161,8506210:0:4
1162,8506209:0:1
1163,8506208:0:3
1164,8506206:0:2
1165,8506000:0:3
1166,8503000:0:32
1167,8503016:0:1
1168,8506206:0:1
1169,8506208:0:4
1170,8506209:0:2
1171,8506210:0:3
1172,8506311:0:5
1173,8506322:0:1
1174,8506305:0:1
1175,8506304:0:1
1176,8506303:0:3
1177,8506302:0:2
1178,8506301:0:2
1179,8506300
1180,8506206:0:3
1181,8506300:0:1
1182,8506311:0:2
1183,8506206:0:4
1184,8506302:0:4
1185,8506206:0:6
1186,8506301:0:1
1187,8506395:0:2
1188,8506396:0:1
1189,8506397:0:1
1190,8506398:0:3
1191,8506121:0:5
1192,8506398:0:2
1193,8506121:0:1
1194,8506304:0:2
1195,8506305:0:2
1196,8506311:0:4
1197,8506300:0:2
1198,8506210:0:1
1199,8506206:0:5
1200,8506319:0:1
1201,8506318:0:1
1202,8506317:0:1
1203,8506316:0:1
1204,8506314:0:1
1205,8506313:0:1
1206,8506312:0:1
1207,8506312:0:2
1208,8506319:0:3
1209,8506313:0:2
1210,8506314:0:2
1211,8506317:0:2
1212,8503116:0:3
1213,8509418:0:1
1214,8509417:0:2
1215,8509416:0:2
1216,8509415:0:2
1217,8509414:0:3
1218,8509413:0:4
1219,8509412:0:4
1220,8509412:0:3
1221,8509413:0:3
1222,8509414:0:4
1223,8509415:0:1
1224,8509416:0:1
1225,8509417:0:1
1226,8506200:0:2
1227,8503117
1228,8506290:0:3
1229,8506291:0:1
1230,8506292:0:3
1231,8506293:0:2
1232,8506294:0:2
1233,8506201:0:2
1234,8506200:0:4
1235,8506292:0:2
1236,8509406:0:1
1237,8509404:0:1
1238,8509402:0:1
1239,8509401:0:1
1240,8509400:0:2
1241,8509400:0:1
1242,8509404:0:2
1243,8506200:0:1
1244,8500202:0:1
1245,8500212:0:3
1246,8500212:0:4
1247,8500202:0:2
1248,8501120:0:4
1249,8501120:0:8
1250,8501120:0:7
1251,8503116:0:1
1252,8506299:0:1
1253,8506298:0:1
1254,8506297:0:1
1255,8506394:0:2
1256,8506395:0:3
1257,8506121:0:4
1258,8506394:0:1
1259,8506396:0:2
1260,8506200:0:5
1261,8506200:0:3
1262,8506201:0:1
1263,8506202:0:1
1264,8506203:0:2
1265,8506204:0:1
1266,8506205:0:1
1267,8506203:0:1
1268,8506206
1269,8503424:0:1
1270,8503423:0:3
1271,8518924:0:1
1272,8503421:0:1
1273,8503424:0:4
1274,8503423:0:2
1275,8503424:0:2
1276,8503424:0:3
1277,8014490
1278,8014487
1279,8503424:0:5
1280,8503000:0:7
1281,8014558
1282,8505007:0:2
1283,8505006:0:3
1284,8505005:0:2
1285,8505004:0:4
1286,8502205:0:2
1287,8517112:0:1
1288,8502231:0:1
1289,8515994:0:1
1290,8517527:0:1
1291,8502300:0:1
1292,8502204:0:3
1293,8505112:0:1
1294,8505111:0:2
1295,8505007:0:4
1296,8502204:0:2
1297,8515993:0:1
1298,8502231:0:2
1299,8502205:0:3
1300,8505004:0:3
1301,8505005:0:1
1302,8505006:0:2
1303,8505007:0:5
1304,8505111:0:1
1305,8503209:0:2
1306,8503211:0:2
1307,8505004:0:5
1308,8505112:0:3
1309,8505114:0:2
1310,8505114:0:1
1311,8505112:0:2
1312,8505113:0:1
1313,8505004:0:6
1314,8505003:0:2
1315,8505002:0:2
1316,8505011:0:1
1317,8505001
1318,8505018:0:1
1319,8517336:0:2
1320,8505002:0:1
1321,8505003:0:3
1322,8517336:0:1
1323,8505004:0:2
1324,8503280:0:2
1325,8503281:0:3
1326,8503290
1327,8503282:0:3
1328,8503292:0:2
1329,8503284:0:4
1330,8503281:0:2
1331,8503292:0:1
1332,8503280:0:1
1333,8503282:0:2
1334,8503284:0:5
1335,8505003:0:4
1336,8503299:0:1
1337,8503209:0:6
1338,8503289:0:1
1339,8503295
1340,8503288:0:3
1341,8503294
1342,8503286:0:3
1343,8503288:0:2
1344,8503283:0:6
1345,8503284:0:2
1346,8503285:0:2
1347,8503286:0:2
1348,8503110:0:6
1349,8503283:0:4
1350,8503283:0:7
1351,8503284:0:3
1352,8503285:0:3
1353,8503289:0:2
1354,8503110:0:7
1355,8505114:0:4
1356,8503110:0:3
1357,8502113:0:6CD
1358,8501030:0:2
1359,8301310
1360,8301307
1361,8505307:0:4
1362,8505306:0:2
1363,8505305:0:4
1364,8505307:0:7
1365,8517519:0:2
1366,8516013
1367,8301203
1368,8301204
1369,8301205
1370,8301030
1371,8301031
1372,8325631
1373,8319371
1374,8325635
1375,8320005
1376,8517519:0:1
1377,8505305:0:5
1378,8505306:0:1
1379,8505307:0:2
1380,8518475:0:2
1381,8505304:0:1
1382,8505303:0:3
1383,8505302:0:3
1384,8505301:0:2
1385,8505300:0:4
1386,8505219:0:2
1387,8505218:0:3
1388,8505217:0:2
1389,8505216:0:3
1390,8505214:0:4
1391,8505213:0:4
1392,8505213:0:3
1393,8505391
1394,8505399
1395,8530790
1396,8505393
1397,8530789
1398,8505394
1399,8505390
1400,8505395
1401,8505392
