stop,type,population
"Rheinfelden, Sonnenbergstrasse",Bus,0
"Rheinfelden, Salmen-Park",Bus,0
"Rheinfelden, Untere Marktgasse",Bus,0
"Rheinfelden, Parkresort",Bus,0
"Rheinfelden, Rosengässchen",Bus,0
"Rheinfelden, Spitalhalde",Bus,0
"Rheinfelden, Dianapark",Bus,0
"Rheinfelden, HPS",Bus,0
"Rheinfelden, Kloos",Bus,0
"Rheinfelden (D),Deutscher Zoll",Bus,0
"Rheinfelden, Spitaltreppe",Bus,0
"Würenlos, Bahnhofplatz",Bus,0
"Zofingen, JHCO",Bus,0
"Zofingen, Bethge",Bus,0
"Mühlethal, Weiher",Bus,0
"Mühlethal, Milchhüsli",Bus,0
"Mühlethal, Linden",Bus,0
"Uerkheim, Tannacker",Bus,0
"Uerkheim, Säge",Bus,0
"Uerkheim, Abzw. Neudorf",Bus,0
"Uerkheim, Kirche",Bus,0
"Uerkheim, Post",Bus,0
"Uerkheim, Oberdorf",Bus,0
"Uerkheim, Unterdorf",Bus,0
"Uerkheim, Schweizermatten",Bus,0
"Bottenwil, Unterdorf",Bus,0
"Holziken, Abzw. Bändli",Bus,0
"Bottenwil, Dorf",Bus,0
"Bottenwil, Stäpflistrasse",Bus,0
"Bottenwil, Vorstatt",Bus,0
"Holziken, Post",Bus,0
Kölliken Oberdorf,Bus,0
"Holziken, Hirschthalerstrasse",Bus,0
Schöftland Nordweg,Bus,0
Safenwil,Train,3705
Kölliken,Train,4287
"Schöftland, Holzikerstrasse",Bus,0
Hirschthal,Train,1570
Schöftland,Train,4166
"Schöftland Nordweg, Bahnhof",Bus,0
"Schöftland, Dorfstrasse",Bus,0
"Schöftland, Bahnhof",Bus,0
"Schöftland, Abzw. Böhler",Bus,0
"Schöftland, Dreistein",Bus,0
"Kirchleerau, Abzw.",Bus,0
"Schöftland, Sandplatten",Bus,0
"Schöftland, Pikardie",Bus,0
"Kirchleerau-Moosleerau, Post",Bus,0
"Kirchleerau, Fabrik Hunziker",Bus,0
"Stein-Säckingen, Bahnhof",Bus,0
"Stein AG, Bahnhofstrasse",Bus,0
"Stein AG, Zürcherstrasse",Bus,0
"Kaisten, Industrie Hardmatt",Bus,0
"Münchwilen AG, Dorfplatz",Bus,0
"Stein AG, Coop",Bus,0
"Eiken, Industriezone Rütti",Bus,0
"Münchwilen AG, Wendeplatz",Bus,0
"Eiken, West",Bus,0
"Eiken, Post",Bus,0
"Sisseln AG, Unterdorf",Bus,0
"Eiken, Ost",Bus,0
"Sisseln AG, Breitenacher",Bus,0
"Sisseln AG, DSM",Bus,0
"Oeschgen, Brückenwaage",Bus,0
"Oeschgen, Gemeindehaus",Bus,0
"Oeschgen, Hinterdorf",Bus,0
"Frick, Neumatt",Bus,0
"Frick, Abzw. Ittenthal",Bus,0
"Frick, Unterdorf",Bus,0
"Kaisten, Kaisterberg",Bus,0
"Frick, Bahnhof",Bus,0
"Frick, Oberdorf",Bus,0
"Frick, Firma Müller",Bus,0
"Gipf-Oberfrick, Brücke",Bus,0
"Frick, Ebnet",Bus,0
"Frick, Bänihübel",Bus,0
"Zeihen, Dorf",Bus,0
"Herznach, Oberherznach",Bus,0
"Ueken, Zeihen Abzw.",Bus,0
"Gipf-Oberfrick, alte Post",Bus,0
"Effingen, Dorf",Bus,0
"Bözberg, Riemen",Bus,0
"Zeihen, Hohbächli",Bus,0
"Densbüren, Breite",Bus,0
"Ueken, Gemeindehaus",Bus,0
"Ueken, Unterdorf",Bus,0
"Hornussen, Unterdorf",Bus,0
"Hornussen, Oberdorf",Bus,0
"Kaisten, Lümberg",Bus,0
"Kaisten, Gemeindehaus",Bus,0
"Kaisten, Weidstrasse",Bus,0
"Laufenburg, Werkstrasse",Bus,0
"Kaisten, Unterdorf",Bus,0
"Kaisten, Eigenmatt",Bus,0
"Laufenburg, Blauen",Bus,0
"Laufenburg, Kreisschule",Bus,0
"Kaisten, Ritanne",Bus,0
"Kaisten, Steigstich",Bus,0
"Laufenburg, Bahnhof",Bus,0
"Laufenburg, Regionalspital",Bus,0
"Etzgen, Rheintalstrasse",Bus,0
"Rheinsulz, Dorf",Bus,0
"Etzgen, Schulhaus",Bus,0
"Schwaderloch, Bahnhof",Bus,0
"Densbüren, Gemeindehaus",Bus,0
"Densbüren, Ausserdorf",Bus,0
"Gipf-Oberfrick, Rösslibrücke",Bus,0
"Wittnau, Hofmatt",Bus,0
"Wölflinswil, Unterdorf",Bus,0
"Wittnau, Mitteldorf",Bus,0
"Wittnau, alte Post",Bus,0
"Wittnau, Erlenhof",Bus,0
"Wölflinswil, Dorfplatz",Bus,0
"Wittnau, Obere Gasse",Bus,0
"Wölflinswil, Mühlmatt",Bus,0
"Oberhof, Rohr",Bus,0
"Elfingen, Sternen",Bus,0
"Bözen, Mitteldorf",Bus,0
"Bözen, Post",Bus,0
"Bözen, Ausserdorf",Bus,0
"Effingen, Schwerzbrünneli",Bus,0
"Zeihen, Abzw. Station Effingen",Bus,0
"Bözberg, Neustalden",Bus,0
"Brugg AG, Bahnhof/Zentrum",Bus,0
"Brugg AG, Brücke",Bus,0
"Brugg AG, Kaserne",Bus,0
"Brugg AG, Eisi",Bus,0
"Villigen, PSI West",Bus,0
"Umiken, Mühlehalde",Bus,0
"Brugg AG, Au",Bus,0
"Brugg AG, Gesundheitszentrum",Bus,0
"Villigen, Vor Tor",Bus,0
"Villigen, PSI Ost",Bus,0
"Böttstein, Schmidberg",Bus,0
"Umiken, Oberdorf",Bus,0
"Umiken, Kirche",Bus,0
"Windisch, Gemeindehaus",Bus,0
"Umiken, Abzw. Riniken",Bus,0
"Villnachern, Dorf",Bus,0
"Bözberg, Haldensteinstrasse",Bus,0
"Bözberg, Unterer Hafen",Bus,0
"Riniken, Bruggerstrasse",Bus,0
"Bözberg, Vierlinden",Bus,0
"Bözberg, Gäbi",Bus,0
"Riniken, Post",Bus,0
"Bözberg, Mittlerer Hafen",Bus,0
"Bözberg, Oberer Hafen",Bus,0
"Bözberg, Ursprung",Bus,0
"Bözberg, Kirchbözberg",Bus,0
"Bözberg, Bächle",Bus,0
"Bözberg, Gemeindehaus",Bus,0
"Bözberg, Hübel",Bus,0
"Bözberg, Riedacher",Bus,0
"Bözberg, Egenwil",Bus,0
"Bözberg, Altstalden",Bus,0
"Bözberg, Sandbrunnen",Bus,0
"Bözberg, Gallenkirch",Bus,0
"Bözberg, Linn",Bus,0
"Zeihen, Stauftel",Bus,0
Gränichen Töndler,Train,7550
Oberentfelden,Train,7628
Gränichen,Train,7550
"Suhr, Central",Bus,0
"Suhr, Bahnhof",Bus,0
Gränichen Oberdorf,Train,-1
"Suhr, Mattenweg",Bus,0
"Suhr, Schweizerhof",Bus,0
Bleien Liebegg,Train,-1
Teufenthal AG,Train,1561
Unterkulm Nord,Train,2982
Unterkulm,Train,2982
Oberkulm Post,Train,2626
Oberkulm,Train,2626
Gontenschwil,Train,2080
Zetzwil,Bus,0
Reinach AG Nord,Bus,0
Leimbach AG,Train,470
Reinach AG Mitte,Train,-1
Reinach AG,Train,8148
Menziken,Train,5891
Unterentfelden Post,Train,4018
Unterentfelden Oberdorf,Bus,0
Oberentfelden Uerkenbrücke,Train,-1
Oberentfelden Engelplatz,Train,-1
Muhen Nord,Train,3814
Muhen,Train,3814
Mittelmuhen,Train,-1
Obermuhen,Train,-1
"Sulz AG, Leidikon",Bus,0
"Sulz AG, Roos",Bus,0
"Sulz AG, Bütz",Bus,0
"Sulz AG, Milchhüsli",Bus,0
"Sulz AG, Mitteldorf",Bus,0
"Obersulz, Hauptstrasse",Bus,0
"Hottwil, Wendeplatz",Bus,0
"Hottwil, Gassweg",Bus,0
"Wil AG, Ausserdorf",Bus,0
"Wil AG, Mitteldorfstrasse",Bus,0
"Wil AG, Steinhof",Bus,0
"Mettau, Linde",Bus,0
"Mettau, Post",Bus,0
"Oberhofen AG, Kreuz",Bus,0
"Etzgen, Dorf",Bus,0
"Oberhofen AG, Ausserdorf",Bus,0
"Full, Schulweg",Bus,0
"Leibstadt, Milchhüsli",Bus,0
"Remigen, Zentrum",Bus,0
"Remigen, Stig",Bus,0
"Stilli, Villigerstrasse",Bus,0
"Rüfenach AG, Vorderrein",Bus,0
"Bürersteig, Passhöhe",Bus,0
"Remigen, Abzw. Ueberthal",Bus,0
"Rüfenach AG, Dorf",Bus,0
"Riniken, Gemeindehaus",Bus,0
"Lauffohr, Dorf",Bus,0
"Stilli, Aarebrücke",Bus,0
"Villigen, Post",Bus,0
"Villigen, Gemeindehaus",Bus,0
"Lauffohr, Platte",Bus,0
"Rüfenach AG, Hinterrein",Bus,0
"Gansingen, Oberbüren",Bus,0
"Mönthal, Unterdorf",Bus,0
"Rüfenach AG, Schulhaus",Bus,0
"Gansingen, Dorfplatz",Bus,0
"Gansingen, Oberdorf",Bus,0
"Gansingen, Unterbüren",Bus,0
"Sisseln AG, Syngenta",Bus,0
"Stein AG, Novartis",Bus,0
"Mumpf, Ankengasse",Bus,0
"Mumpf, Dorf",Bus,0
"Obermumpf, Bündtematt",Bus,0
"Mumpf, Adlerplatz",Bus,0
"Ittenthal, Rüttiweg",Bus,0
"Ittenthal, Dorfmitte",Bus,0
"Koblenz, Bahnhof",Bus,0
"Döttingen, Bahnhof",Bus,0
"Rietheim, Bahnhof",Bus,0
"Leuggern, Felsenau Werkhof",Bus,0
"Kleindöttingen, Post",Bus,0
"Döttingen, Ochsen",Bus,0
"Döttingen, Chunte",Bus,0
"Bad Zurzach, Bahnhof",Bus,0
"Bad Zurzach, Baslerstrasse",Bus,0
"Rietheim, Badstrasse",Bus,0
"Full, Fähre",Bus,0
"Full, Mitte",Bus,0
"Reuenthal AG, Dorfplatz",Bus,0
"Leibstadt, Kernkraftwerk",Bus,0
"Full, Militärmuseum",Bus,0
"Leuggern, Turnhalle",Bus,0
"Leuggern, Gippingen Härdlestr.",Bus,0
"Leuggern, Post",Bus,0
"Kleindöttingen, Burlen",Bus,0
"Leuggern, Dietsche/Sternen",Bus,0
"Leuggern, Brühlmatt",Bus,0
"Kleindöttingen, Schwächeler",Bus,0
"Kleindöttingen, Breite",Bus,0
"Tegerfelden, Hochbrücke",Bus,0
"Kleindöttingen, Eien",Bus,0
"Hettenschwil, Kapelle",Bus,0
