,0,1
476,68-40-Y-j18-1,S-Bahn
477,79-40-Y-j18-1,RegioExpress
478,80-40-Y-j18-1,RegioExpress
479,1-41-j18-1,S-Bahn
480,26-41-j18-1,S-Bahn
481,66-41-Y-j18-1,Regionalzug
482,68-41-Y-j18-1,S-Bahn
483,79-41-Y-j18-1,RegioExpress
484,80-41-Y-j18-1,RegioExpress
485,1-42-j18-1,S-Bahn
486,66-42-Y-j18-1,Regionalzug
487,68-42-Y-j18-1,S-Bahn
488,79-42-Y-j18-1,RegioExpress
489,80-42-Y-j18-1,RegioExpress
490,66-43-Y-j18-1,Regionalzug
491,68-43-Y-j18-1,S-Bahn
492,79-43-Y-j18-1,RegioExpress
493,80-43-Y-j18-1,RegioExpress
494,6-44-A-j18-1,S-Bahn
495,12-44-A-j18-1,S-Bahn
496,15-44-j18-1,S-Bahn
497,66-44-Y-j18-1,Regionalzug
498,68-44-Y-j18-1,S-Bahn
499,79-44-Y-j18-1,RegioExpress
500,80-44-Y-j18-1,RegioExpress
501,66-45-Y-j18-1,Regionalzug
502,68-45-Y-j18-1,S-Bahn
503,79-45-Y-j18-1,RegioExpress
504,80-45-Y-j18-1,RegioExpress
505,18-46-j18-1,InterRegio
506,22-46-j18-1,InterRegio
507,66-46-Y-j18-1,Regionalzug
508,68-46-Y-j18-1,S-Bahn
509,79-46-Y-j18-1,RegioExpress
510,80-46-Y-j18-1,RegioExpress
511,59-470-j18-1,InterRegio
512,66-47-Y-j18-1,Regionalzug
513,68-47-Y-j18-1,S-Bahn
514,79-47-Y-j18-1,RegioExpress
515,80-47-Y-j18-1,RegioExpress
516,66-48-Y-j18-1,Regionalzug
517,68-48-Y-j18-1,S-Bahn
518,79-48-Y-j18-1,RegioExpress
519,80-48-Y-j18-1,RegioExpress
520,66-49-Y-j18-1,Regionalzug
521,68-49-Y-j18-1,S-Bahn
522,79-49-Y-j18-1,RegioExpress
523,80-49-Y-j18-1,RegioExpress
524,40-4-Y-j18-1,Eurocity
525,42-4-Y-j18-1,Intercity
526,54-4-Y-j18-1,ICE
527,57-4-Y-j18-1,TGV
528,59-4-Y-j18-1,InterRegio
529,60-4-Y-j18-1,InterRegio
530,63-4-Y-j18-1,Extrazug
531,64-4-Y-j18-1,Extrazug
532,66-4-Y-j18-1,Regionalzug
533,68-4-Y-j18-1,S-Bahn
534,69-4-Y-j18-1,S-Bahn
535,72-4-Y-j18-1,S-Bahn
536,74-4-Y-j18-1,RegioExpress
537,76-4-Y-j18-1,Schnellzug
538,77-4-Y-j18-1,RegioExpress
539,78-4-Y-j18-1,RegioExpress
540,79-4-Y-j18-1,RegioExpress
541,80-4-Y-j18-1,RegioExpress
542,6-5-A-j18-1,S-Bahn
543,6-5-B-j18-1,Intercity
544,8-5-j18-1,S-Bahn
545,9-5-j18-1,Intercity
546,14-5-j18-1,S-Bahn
547,16-5-j18-1,Intercity
548,18-5-j18-1,S-Bahn
549,19-5-j18-1,Intercity
550,21-5-j18-1,S-Bahn
551,23-5-A-j18-1,Intercity
552,23-5-B-j18-1,S-Bahn
553,23-5-j18-1,S-Bahn
554,26-5-A-j18-1,S-Bahn
555,26-5-j18-1,S-Bahn
556,79-5-C-j18-1,S-Bahn
557,79-5-E-j18-1,S-Bahn
558,79-5-j18-1,S-Bahn
559,8-50-j18-1,S-Bahn
560,20-50-j18-1,S-Bahn
561,66-50-Y-j18-1,Regionalzug
562,68-50-Y-j18-1,S-Bahn
563,79-50-Y-j18-1,RegioExpress
564,80-50-Y-j18-1,RegioExpress
565,5-51-j18-1,Intercity
566,6-51-A-j18-1,Intercity
567,6-51-j18-1,S-Bahn
568,80-510-j18-1,RegioExpress
569,66-51-Y-j18-1,Regionalzug
570,68-51-Y-j18-1,S-Bahn
571,79-51-Y-j18-1,RegioExpress
572,80-51-Y-j18-1,RegioExpress
573,6-52-j18-1,S-Bahn
574,66-52-Y-j18-1,Regionalzug
575,68-52-Y-j18-1,S-Bahn
576,79-52-Y-j18-1,RegioExpress
577,80-52-Y-j18-1,RegioExpress
578,66-53-Y-j18-1,Regionalzug
579,68-53-Y-j18-1,S-Bahn
580,79-53-Y-j18-1,RegioExpress
581,80-53-Y-j18-1,RegioExpress
582,66-54-Y-j18-1,Regionalzug
583,68-54-Y-j18-1,S-Bahn
584,79-54-Y-j18-1,RegioExpress
585,80-54-Y-j18-1,RegioExpress
586,14-55-j18-1,S-Bahn
587,21-55-j18-1,S-Bahn
588,66-55-Y-j18-1,Regionalzug
589,68-55-Y-j18-1,S-Bahn
590,79-55-Y-j18-1,RegioExpress
591,80-55-Y-j18-1,RegioExpress
592,66-56-Y-j18-1,Regionalzug
593,79-56-Y-j18-1,RegioExpress
594,80-56-Y-j18-1,RegioExpress
595,66-57-Y-j18-1,Regionalzug
596,80-57-Y-j18-1,RegioExpress
597,66-58-Y-j18-1,Regionalzug
598,80-58-Y-j18-1,RegioExpress
599,66-59-Y-j18-1,Regionalzug
600,80-59-Y-j18-1,RegioExpress
601,40-5-Y-j18-1,Eurocity
602,42-5-Y-j18-1,Intercity
603,57-5-Y-j18-1,TGV
604,59-5-Y-j18-1,InterRegio
605,60-5-Y-j18-1,InterRegio
606,63-5-Y-j18-1,Extrazug
607,66-5-Y-j18-1,Regionalzug
