,stop,type
394,"Magden, Unterdorf",Bus
395,"Olsberg, Schönenbühl",Bus
396,"Rheinfelden, Eremitage",Bus
397,"Rheinfelden, Engerfeld",Bus
398,"Rheinfelden, Spitalstrasse",Bus
399,"Rheinfelden, Töpferweg",Bus
400,"Rheinfelden, Post",Bus
401,"Rheinfelden, Altersheim",Bus
402,"Rheinfelden, Stadtpark",Bus
403,"Rheinfelden, Regionalspital",Bus
404,"Möhlin, Unter der Halde",Bus
405,"Rheinfelden, Kohlplatz",Bus
406,"Rheinfelden, Bahnhof",Bus
407,"Rheinfelden, Albrechtsplatz",Bus
408,"Rheinfelden, Sonnenbergstrasse",Bus
409,"Rheinfelden, Salmen-Park",Bus
410,"Rheinfelden, Untere Marktgasse",Bus
411,"Rheinfelden, Parkresort",Bus
412,"Rheinfelden, Rosengässchen",Bus
413,"Rheinfelden, Spitalhalde",Bus
414,"Rheinfelden, Dianapark",Bus
415,"Rheinfelden, HPS",Bus
416,"Rheinfelden, Kloos",Bus
417,"Rheinfelden (D),Deutscher Zoll",Bus
418,"Rheinfelden, Spitaltreppe",Bus
419,"Würenlos, Bahnhofplatz",Bus
420,"Zofingen, JHCO",Bus
421,"Zofingen, Bethge",Bus
422,"Mühlethal, Weiher",Bus
423,"Mühlethal, Milchhüsli",Bus
424,"Mühlethal, Linden",Bus
425,"Uerkheim, Tannacker",Bus
426,"Uerkheim, Säge",Bus
427,"Uerkheim, Abzw. Neudorf",Bus
428,"Uerkheim, Kirche",Bus
429,"Uerkheim, Post",Bus
430,"Uerkheim, Oberdorf",Bus
431,"Uerkheim, Unterdorf",Bus
432,"Uerkheim, Schweizermatten",Bus
433,"Bottenwil, Unterdorf",Bus
434,"Holziken, Abzw. Bändli",Bus
435,"Bottenwil, Dorf",Bus
436,"Bottenwil, Stäpflistrasse",Bus
437,"Bottenwil, Vorstatt",Bus
438,"Holziken, Post",Bus
439,Kölliken Oberdorf,Bus
440,"Holziken, Hirschthalerstrasse",Bus
441,Schöftland Nordweg,Bus
442,Safenwil,Train
443,Kölliken,Train
444,"Schöftland, Holzikerstrasse",Bus
445,Hirschthal,Train
446,Schöftland,Train
447,"Schöftland Nordweg, Bahnhof",Bus
448,"Schöftland, Dorfstrasse",Bus
449,"Schöftland, Bahnhof",Bus
450,"Schöftland, Abzw. Böhler",Bus
451,"Schöftland, Dreistein",Bus
452,"Kirchleerau, Abzw.",Bus
453,"Schöftland, Sandplatten",Bus
454,"Schöftland, Pikardie",Bus
455,"Kirchleerau-Moosleerau, Post",Bus
456,"Kirchleerau, Fabrik Hunziker",Bus
457,"Stein-Säckingen, Bahnhof",Bus
458,"Stein AG, Bahnhofstrasse",Bus
459,"Stein AG, Zürcherstrasse",Bus
460,"Kaisten, Industrie Hardmatt",Bus
461,"Münchwilen AG, Dorfplatz",Bus
462,"Stein AG, Coop",Bus
463,"Eiken, Industriezone Rütti",Bus
464,"Münchwilen AG, Wendeplatz",Bus
465,"Eiken, West",Bus
466,"Eiken, Post",Bus
467,"Sisseln AG, Unterdorf",Bus
468,"Eiken, Ost",Bus
469,"Sisseln AG, Breitenacher",Bus
470,"Sisseln AG, DSM",Bus
471,"Oeschgen, Brückenwaage",Bus
472,"Oeschgen, Gemeindehaus",Bus
473,"Oeschgen, Hinterdorf",Bus
474,"Frick, Neumatt",Bus
475,"Frick, Abzw. Ittenthal",Bus
476,"Frick, Unterdorf",Bus
477,"Kaisten, Kaisterberg",Bus
478,"Frick, Bahnhof",Bus
479,"Frick, Oberdorf",Bus
480,"Frick, Firma Müller",Bus
481,"Gipf-Oberfrick, Brücke",Bus
482,"Frick, Ebnet",Bus
483,"Frick, Bänihübel",Bus
484,"Zeihen, Dorf",Bus
485,"Herznach, Oberherznach",Bus
486,"Ueken, Zeihen Abzw.",Bus
487,"Gipf-Oberfrick, alte Post",Bus
488,"Effingen, Dorf",Bus
489,"Bözberg, Riemen",Bus
490,"Zeihen, Hohbächli",Bus
491,"Densbüren, Breite",Bus
492,"Ueken, Gemeindehaus",Bus
493,"Ueken, Unterdorf",Bus
494,"Hornussen, Unterdorf",Bus
495,"Hornussen, Oberdorf",Bus
496,"Kaisten, Lümberg",Bus
497,"Kaisten, Gemeindehaus",Bus
498,"Kaisten, Weidstrasse",Bus
499,"Laufenburg, Werkstrasse",Bus
500,"Kaisten, Unterdorf",Bus
501,"Kaisten, Eigenmatt",Bus
502,"Laufenburg, Blauen",Bus
503,"Laufenburg, Kreisschule",Bus
504,"Kaisten, Ritanne",Bus
505,"Kaisten, Steigstich",Bus
506,"Laufenburg, Bahnhof",Bus
507,"Laufenburg, Regionalspital",Bus
508,"Etzgen, Rheintalstrasse",Bus
509,"Rheinsulz, Dorf",Bus
510,"Etzgen, Schulhaus",Bus
511,"Schwaderloch, Bahnhof",Bus
512,"Densbüren, Gemeindehaus",Bus
513,"Densbüren, Ausserdorf",Bus
514,"Gipf-Oberfrick, Rösslibrücke",Bus
515,"Wittnau, Hofmatt",Bus
516,"Wölflinswil, Unterdorf",Bus
517,"Wittnau, Mitteldorf",Bus
518,"Wittnau, alte Post",Bus
519,"Wittnau, Erlenhof",Bus
520,"Wölflinswil, Dorfplatz",Bus
521,"Wittnau, Obere Gasse",Bus
522,"Wölflinswil, Mühlmatt",Bus
523,"Oberhof, Rohr",Bus
524,"Elfingen, Sternen",Bus
525,"Bözen, Mitteldorf",Bus
526,"Bözen, Post",Bus
527,"Bözen, Ausserdorf",Bus
528,"Effingen, Schwerzbrünneli",Bus
529,"Zeihen, Abzw. Station Effingen",Bus
530,"Bözberg, Neustalden",Bus
531,"Brugg AG, Bahnhof/Zentrum",Bus
532,"Brugg AG, Brücke",Bus
533,"Brugg AG, Kaserne",Bus
534,"Brugg AG, Eisi",Bus
535,"Villigen, PSI West",Bus
536,"Umiken, Mühlehalde",Bus
537,"Brugg AG, Au",Bus
538,"Brugg AG, Gesundheitszentrum",Bus
539,"Villigen, Vor Tor",Bus
540,"Villigen, PSI Ost",Bus
541,"Böttstein, Schmidberg",Bus
542,"Umiken, Oberdorf",Bus
543,"Umiken, Kirche",Bus
544,"Windisch, Gemeindehaus",Bus
545,"Umiken, Abzw. Riniken",Bus
546,"Villnachern, Dorf",Bus
547,"Bözberg, Haldensteinstrasse",Bus
548,"Bözberg, Unterer Hafen",Bus
549,"Riniken, Bruggerstrasse",Bus
550,"Bözberg, Vierlinden",Bus
551,"Bözberg, Gäbi",Bus
552,"Riniken, Post",Bus
553,"Bözberg, Mittlerer Hafen",Bus
554,"Bözberg, Oberer Hafen",Bus
555,"Bözberg, Ursprung",Bus
556,"Bözberg, Kirchbözberg",Bus
557,"Bözberg, Bächle",Bus
558,"Bözberg, Gemeindehaus",Bus
559,"Bözberg, Hübel",Bus
560,"Bözberg, Riedacher",Bus
561,"Bözberg, Egenwil",Bus
562,"Bözberg, Altstalden",Bus
563,"Bözberg, Sandbrunnen",Bus
564,"Bözberg, Gallenkirch",Bus
565,"Bözberg, Linn",Bus
566,"Zeihen, Stauftel",Bus
567,Gränichen Töndler,Train
568,Oberentfelden,Train
569,Gränichen,Train
570,"Suhr, Central",Bus
571,"Suhr, Bahnhof",Bus
572,Gränichen Oberdorf,Train
573,"Suhr, Mattenweg",Bus
574,"Suhr, Schweizerhof",Bus
575,Bleien Liebegg,Train
576,Teufenthal AG,Train
577,Unterkulm Nord,Train
578,Unterkulm,Train
579,Oberkulm Post,Train
580,Oberkulm,Train
581,Gontenschwil,Train
582,Zetzwil,Bus
583,Reinach AG Nord,Bus
584,Leimbach AG,Train
585,Reinach AG Mitte,Train
586,Reinach AG,Train
587,Menziken,Train
588,Unterentfelden Post,Train
589,Unterentfelden Oberdorf,Bus
590,Oberentfelden Uerkenbrücke,Train
591,Oberentfelden Engelplatz,Train
592,Muhen Nord,Train
593,Muhen,Train
594,Mittelmuhen,Train
595,Obermuhen,Train
596,"Sulz AG, Leidikon",Bus
597,"Sulz AG, Roos",Bus
598,"Sulz AG, Bütz",Bus
599,"Sulz AG, Milchhüsli",Bus
600,"Sulz AG, Mitteldorf",Bus
601,"Obersulz, Hauptstrasse",Bus
602,"Hottwil, Wendeplatz",Bus
603,"Hottwil, Gassweg",Bus
604,"Wil AG, Ausserdorf",Bus
605,"Wil AG, Mitteldorfstrasse",Bus
606,"Wil AG, Steinhof",Bus
607,"Mettau, Linde",Bus
608,"Mettau, Post",Bus
