,0
1102,8502704
1103,8572506
1104,8572507
1105,8502703
1106,8583341
1107,8502965
1108,8572508
1109,8500786
1110,8572479
1111,8580324
1112,8580321
1113,8580322
1114,8580323
1115,8572525
1116,8500575
1117,8572526
1118,8502680
1119,8500023:0:1
1120,8500026:0:1
1121,8503000:0:9
1122,8500026:0:3
1123,8500023:0:3
1124,8572489
1125,8502875
1126,8500573
1127,8582953
1128,8580932
1129,8572475
1130,8500979
1131,8572476
1132,8500581
1133,8500553
1134,8572477
1135,8572478
1136,8572474
1137,8572473
1138,8500571
1139,8572471
1140,8572472
1141,8572470
1142,8500567
1143,8572462
1144,8503891
1145,8503890
1146,8500564
1147,8572488
1148,8500552
1149,8572487
1150,8500558
1151,8500568
1152,8500572
1153,8500566
1154,8582955
1155,8572491
1156,8577360
1157,8572492
1158,8503590
1159,8503780
1160,8572493
1161,8572469
1162,8500574
1163,8572468
1164,8572465
1165,8577957
1166,8572466
1167,8502557
1168,8580895
1169,8580896
1170,8580894
1171,8580897
1172,8580899
1173,8572467
1174,8572465:0:A
1175,8588870
1176,8578688
1177,8578689
1178,8578690:0:B
1179,8578691
1180,8578692
1181,8502981
1182,8578693
1183,8578696
1184,8578697
1185,8578747:0:B
1186,8578747:0:A
1187,8578690:0:A
1188,8578736:0:A
1189,8502681
1190,8578695
1191,8578694
1192,8578746
1193,8587752
1194,8587750
1195,8587113
1196,8588178
1197,8591870
1198,8587741
1199,8577353:0:A
1200,8587230:0:B
1201,8587230:0:A
1202,8578736:0:E
1203,8578735
1204,8590265
1205,8590264
1206,8578703:0:B
1207,8502675
1208,8578703:0:A
1209,8578698
1210,8578699
1211,8578700
1212,8578701
1213,8502872:0:A
1214,8578702
1215,8578704
1216,8502676
1217,8502677
1218,8502678
1219,8578705
1220,8578706
1221,8502679:0:A
1222,8578707
1223,8578764
1224,8578765
1225,8589986
1226,8578768:0:A
1227,8578768:0:B
1228,8502679:0:B
1229,8502872:0:B
1230,8578738
1231,8578739
1232,8590242
1233,8578745
1234,8578737
1235,8578736:0:B
1236,8578734
1237,8578732
1238,8590243
1239,8578730
1240,8578729
1241,8578728
1242,8588869
1243,8578726
1244,8578750
1245,8589543
1246,8578754
1247,8578755
1248,8578757
1249,8590162
1250,8590224
1251,8582728:0:A
1252,8587112
1253,8582728:0:B
1254,8589490
1255,8590254
1256,8587102
1257,8590253
1258,8587101:0:A
1259,8587101:0:B
1260,8588575:0:A
1261,8588570
1262,8588577
1263,8588572
1264,8588574
1265,8595454
1266,8588576
1267,8588573
1268,8578742:0:A
1269,8595641
1270,8578736:0:C
1271,8578708
1272,8578710
1273,8578711
1274,8578712:0:A
1275,8578714
1276,8578715
1277,8578716
1278,8578717
1279,8578718
1280,8578719
1281,8578720
1282,8578721
1283,8578722
1284,8578723
1285,8578724
1286,8578725:0:A
1287,8590262
1288,8578744
1289,8580822
1290,8582549
1291,8580821
1292,8582762
1293,8580825
1294,8581079
1295,8580824
1296,8587007
1297,8580823
1298,8580832
1299,8502038:0:A
1300,8582548
1301,8582550
