,0,1
327,66-136-Y-j18-1,Regionalzug
328,80-136-Y-j18-1,RegioExpress
329,1-137-j18-1,Bus
330,66-137-Y-j18-1,Regionalzug
331,66-138-Y-j18-1,Regionalzug
332,1-139-j18-1,Bus
333,66-139-Y-j18-1,Regionalzug
334,27-13E-j18-1,Bus
335,30-13-Y-j18-1,Bus
336,40-13-Y-j18-1,Eurocity
337,59-13-Y-j18-1,InterRegio
338,66-13-Y-j18-1,Regionalzug
339,68-13-Y-j18-1,S-Bahn
340,69-13-Y-j18-1,S-Bahn
341,76-13-Y-j18-1,Schnellzug
342,78-13-Y-j18-1,RegioExpress
343,79-13-Y-j18-1,RegioExpress
344,80-13-Y-j18-1,RegioExpress
345,1-14-j18-1,S-Bahn
346,7-14-j18-1,Bus
347,11-14-j18-1,Bus
348,12-14-j18-1,Bus
349,21-14-j18-1,S-Bahn
350,25-14-j18-1,Bus
351,26-14-j18-1,S-Bahn
352,27-14-j18-1,Bus
353,79-14-j18-1,Bus
354,23-140-j18-1,Bus
355,66-140-Y-j18-1,Regionalzug
356,1-141-j18-1,Bus
357,6-141-j18-1,Bus
358,24-141-j18-1,Bus
359,66-141-Y-j18-1,Regionalzug
360,1-142-A-j18-1,Bus
361,6-142-j18-1,Bus
362,23-142-j18-1,Bus
363,24-142-j18-1,Bus
364,66-142-Y-j18-1,Regionalzug
365,1-143-j18-1,Bus
366,23-143-j18-1,Bus
367,79-143-j18-1,Bus
368,66-143-Y-j18-1,Regionalzug
369,1-144-j18-1,Bus
370,23-144-j18-1,Bus
371,79-144-j18-1,Bus
372,66-144-Y-j18-1,Regionalzug
373,23-145-j18-1,Bus
374,66-145-Y-j18-1,Regionalzug
375,66-146-Y-j18-1,Regionalzug
376,1-147-j18-1,Bus
377,66-147-Y-j18-1,Regionalzug
378,1-148-j18-1,Bus
379,66-148-Y-j18-1,Regionalzug
380,1-149-j18-1,Bus
381,66-149-Y-j18-1,Regionalzug
382,30-14-Y-j18-1,Bus
383,40-14-Y-j18-1,Eurocity
384,59-14-Y-j18-1,InterRegio
385,66-14-Y-j18-1,Regionalzug
386,68-14-Y-j18-1,S-Bahn
387,69-14-Y-j18-1,S-Bahn
388,76-14-Y-j18-1,Schnellzug
389,78-14-Y-j18-1,RegioExpress
390,79-14-Y-j18-1,RegioExpress
391,80-14-Y-j18-1,RegioExpress
392,6-15-j18-1,InterRegio
393,7-15-j18-1,Bus
394,8-15-j18-1,InterRegio
395,11-15-j18-1,Bus
396,12-15-j18-1,Bus
397,21-15-j18-1,S-Bahn
398,23-15-j18-1,InterRegio
399,26-15-j18-1,S-Bahn
400,26-150-j18-1,Bus
401,80-150-j18-1,RegioExpress
402,66-150-Y-j18-1,Regionalzug
403,6-151-j18-1,Bus
404,16-151-j18-1,Bus
405,23-151-j18-1,Bus
406,24-151-j18-1,Bus
407,79-151-A-j18-1,Bus
408,79-151-j18-1,Bus
409,66-151-Y-j18-1,Regionalzug
410,2-152-j18-1,Bus
411,6-152-j18-1,Bus
412,16-152-j18-1,Bus
413,23-152-j18-1,Bus
414,66-152-Y-j18-1,Regionalzug
415,23-153-j18-1,Bus
416,66-153-Y-j18-1,Regionalzug
417,16-154-j18-1,Bus
418,21-154-j18-1,Bus
419,79-154-j18-1,Bus
420,66-154-Y-j18-1,Regionalzug
421,16-155-j18-1,Bus
422,26-155-j18-1,Bus
423,66-155-Y-j18-1,Regionalzug
424,16-156-j18-1,Bus
425,23-156-j18-1,Regionalzug
